room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
15191367,1498,64741123,Entire home/apt,Asheville,50,5,2,1,119
19701203,1498,13347648,Entire home/apt,Asheville,1,0,6,2,115
15647883,1498,98245203,Entire home/apt,Asheville,66,5,2,0,114
13744589,1498,63893801,Entire home/apt,Asheville,82,5,4,2,115
1421061,1498,483350,Entire home/apt,Asheville,87,5,2,1,110
266511,1498,266195,Entire home/apt,Asheville,192,5,3,1,105
18959133,1498,88458465,Entire home/apt,Asheville,8,5,8,3,100
15530268,1498,47647594,Entire home/apt,Asheville,50,5,2,1,119
5262825,1498,27244058,Entire home/apt,Asheville,234,4.5,8,2,107
1950593,1498,6510905,Entire home/apt,Asheville,172,5,2,1,110
5144212,1498,6074062,Entire home/apt,Asheville,175,5,4,0,115
17157429,1498,106315653,Entire home/apt,Asheville,20,5,2,1,109
14496690,1498,10077483,Entire home/apt,Asheville,63,5,6,2,110
16415290,1498,9216883,Entire home/apt,Asheville,89,5,2,1,119
16566334,1498,15086526,Entire home/apt,Asheville,12,5,7,2,114
11609580,1498,3156619,Entire home/apt,Asheville,48,5,2,1,112
6054250,1498,1826173,Entire home/apt,Asheville,272,5,2,1,111
19453046,1498,47352661,Entire home/apt,Asheville,2,0,4,3,120
1039028,1498,4143638,Entire home/apt,Asheville,90,5,4,1,90
13648659,1498,1994122,Entire home/apt,Asheville,64,5,2,1,89
7001873,1498,11298793,Entire home/apt,Asheville,156,5,2,0,88
16141463,1498,9216883,Entire home/apt,Asheville,59,4.5,8,4,89
2214960,1498,11297481,Entire home/apt,Asheville,99,5,2,1,95
13452018,1498,10654807,Entire home/apt,Asheville,8,5,6,2,90
9282426,1498,6618494,Entire home/apt,Asheville,41,5,2,1,81
6791922,1498,4470272,Entire home/apt,Asheville,131,5,2,1,99
1785262,1498,5564999,Entire home/apt,Asheville,204,5,2,1,87
11315898,1498,58379581,Entire home/apt,Asheville,53,5,4,1,99
15231248,1498,15740461,Entire home/apt,Asheville,28,5,4,1,89
16559799,1498,45138420,Entire home/apt,Asheville,35,5,2,0,85
14857013,1498,93023816,Entire home/apt,Asheville,38,5,3,1,86
18370607,1498,18599073,Entire home/apt,Asheville,7,5,5,2,95
17801964,1498,119429203,Entire home/apt,Asheville,12,5,6,1,85
2011367,1498,10349105,Entire home/apt,Asheville,106,5,4,1,94
13326253,1498,1872084,Entire home/apt,Asheville,28,4.5,4,1,89
18040182,1498,39326139,Entire home/apt,Asheville,13,5,4,1,97
13710605,1498,8035294,Entire home/apt,Asheville,27,5,2,1,95
8282917,1498,12054902,Entire home/apt,Asheville,99,5,2,1,98
18504762,1498,128422975,Entire home/apt,Asheville,32,5,3,1,88
12107874,1498,64927386,Entire home/apt,Asheville,91,5,3,1,99
9476164,1498,49114420,Entire home/apt,Asheville,64,5,5,2,94
15475292,1498,89538800,Entire home/apt,Asheville,93,5,2,1,90
13582513,1498,40234911,Entire home/apt,Asheville,43,4.5,2,1,85
15124397,1498,15582281,Entire home/apt,Asheville,64,5,2,1,89
5681510,1498,8237860,Entire home/apt,Asheville,101,5,2,1,85
2708104,1498,11297481,Entire home/apt,Asheville,82,5,2,1,99
19700502,1498,2551548,Entire home/apt,Asheville,1,0,3,1,99
17634705,1498,74769459,Entire home/apt,Asheville,21,5,2,1,99
4875054,1498,14485502,Entire home/apt,Asheville,19,5,2,0,100
3040444,1498,12874214,Entire home/apt,Asheville,177,5,3,1,89
7418991,1498,23092470,Entire home/apt,Asheville,193,5,4,0,89
13108582,1498,996829,Entire home/apt,Asheville,51,5,4,2,80
6480745,1498,6074062,Entire home/apt,Asheville,102,5,6,2,99
14078275,1498,47601149,Entire home/apt,Asheville,38,5,2,0,95
14011745,1498,2718902,Entire home/apt,Asheville,41,5,2,0,89
13373427,1498,3018614,Entire home/apt,Asheville,60,5,2,1,95
17155164,1498,21539203,Entire home/apt,Asheville,25,5,2,0,99
18092896,1498,124606231,Entire home/apt,Asheville,7,5,4,1,95
12433546,1498,45476547,Entire home/apt,Asheville,44,5,4,2,95
12782989,1498,54187184,Entire home/apt,Asheville,64,5,2,1,89
15371871,1498,62996022,Entire home/apt,Asheville,37,5,2,1,90
9757192,1498,50318506,Entire home/apt,Asheville,181,4.5,4,2,94
10900676,1498,9309798,Entire home/apt,Asheville,20,5,2,0,85
18022683,1498,109123783,Entire home/apt,Asheville,13,5,2,1,85
13206560,1498,2307713,Entire home/apt,Asheville,65,5,4,1,97
19412393,1498,133394066,Entire home/apt,Asheville,1,0,5,1,85
2209375,1498,2596933,Entire home/apt,Asheville,84,4.5,6,2,199
16284364,1498,43095235,Entire home/apt,Asheville,10,5,4,2,200
18715985,1498,9216883,Entire home/apt,Asheville,14,5,8,3,189
15192947,1498,21014952,Entire home/apt,Asheville,30,5,2,1,185
4510499,1498,14079532,Entire home/apt,Asheville,0,0,4,3,150
15469734,1498,3982820,Entire home/apt,Asheville,11,5,8,3,165
817865,1498,4295819,Entire home/apt,Asheville,26,5,6,2,160
16446590,1498,427027,Entire home/apt,Asheville,10,5,2,0,143
